,user,movie,rate
943002,447969,10891,4
1458109,125433,1781,4
1105877,561693,14676,3
718666,436796,285,4
480113,265103,20869,4
29188,24500,11369,4
1344883,10912,4982,3
946164,45447,15398,3
1404118,174358,20645,4
1130895,557559,24870,3
967389,353406,25497,4
1560154,70801,485,3
462802,14057,40,5
315646,212273,1121,5
1024786,241886,364,4
885616,497642,40,5
592140,251613,4496,5
499129,242246,5635,4
361992,245834,1688,4
1204785,381049,8795,4
8559,4085,2754,4
260049,170851,945,2
321135,216354,1142,4
1230624,174615,18233,4
1686186,234466,1737,4
1322420,413565,13348,4
115052,50108,17351,3
450286,305853,285,5
368950,250759,24061,3
1501602,378200,220,5
1632719,234127,8861,4
181492,111211,4621,5
493508,13517,22045,3
7127,2653,343,4
1265618,186887,5619,3
273748,117967,7063,3
130778,75223,7590,4
1408373,623220,1538,4
353105,239555,235,4
969596,509608,2655,4
1215162,108581,16338,3
1267981,511086,250,4
1665737,44197,14310,4
207714,77407,60,4
634256,404903,5019,3
1324258,144257,600,3
609217,395669,242,4
506950,340921,105,4
1127288,521327,16830,4
533131,293070,213,5
314563,211459,13742,4
609360,292527,23834,3
1764779,675840,26821,3
1393207,620439,791,5
214251,85999,5169,4
893069,109979,373,3
564394,373209,724,4
1575278,230459,12480,3
957519,521095,20247,4
572213,377614,3684,4
189425,117327,24079,3
1200963,581204,16668,4
1135481,343712,5633,4
598231,391535,18703,3
1521653,496029,191,4
27672,23024,10903,4
192505,119670,23205,3
744331,38444,7737,4
633881,395927,22719,3
867348,213281,5550,4
116104,67383,264,5
964130,450688,16217,4
1664039,267054,24084,3
494767,333671,8933,4
697628,428769,22705,4
392740,267426,242,5
588220,361789,99,4
934838,153261,5802,4
1320466,606104,14224,4
478151,323522,1064,5
713650,244752,175,2
160262,94906,29,2
1645504,425337,3775,4
1738319,131646,9189,3
60127,53647,14805,4
1570583,650306,258,4
903221,503614,4650,4
1061612,151431,226,4
938099,471267,17201,4
1440753,236052,7057,5
1664974,386592,11182,3
1097231,559978,5650,4
829986,148914,1180,3
715440,332070,216,4
348161,2125,8158,4
622075,400405,7178,4
1537973,84566,38,4
1604742,76379,60,4
383828,202192,21372,3
1631264,83764,3890,3
1582963,632786,1603,4
1147363,259420,69,2
513028,344431,258,5
1038191,526275,9593,4
1155275,465774,4037,4
431723,293728,101,5
1603409,642011,11650,4
111948,47217,11282,4
1556325,253838,224,4
394333,268513,675,4
1665767,359733,2993,4
1661206,346890,9476,3
1210393,583203,15040,4
1041641,203233,1297,5
716746,312442,9,4
646081,409442,12035,4
1182189,15787,7068,3
144538,82860,621,3
1189050,463246,19840,3
178465,54612,1937,2
1657131,244050,24022,3
1423665,281981,1001,5
1302430,602403,8575,5
1299381,601759,21180,3
333621,225425,9455,4
1727056,44578,199,4
876449,453868,1025,3
1383735,381517,18479,2
823176,475617,40,4
129857,74837,14683,5
954934,71820,10949,3
26699,22088,546,5
160279,12497,50,3
633240,404523,15815,4
1633393,658587,9308,5
285092,189706,268,5
96369,32154,9,4
1614206,94787,13592,4
1007107,512830,3130,5
762360,453180,19418,3
720584,338758,627,4
249123,25575,17015,3
1469325,303054,15098,5
827526,27895,6387,3
358190,243145,19533,4
1391796,274643,10974,3
1322544,349552,23562,4
6756,2282,1684,3
335075,226473,19026,3
1304618,54002,8521,3
772384,456915,1332,4
1658877,12275,4430,4
267960,176810,8356,5
556368,328425,10411,3
1631535,521988,326,4
1649529,404871,1371,3
849230,6314,8606,3
1700187,233899,23,3
62316,55631,59,5
1546612,405859,17827,3
280749,186428,1015,4
893750,329385,17447,3
1054586,548861,8397,4
976754,527017,1426,4
1013372,249941,1307,4
1577578,503194,4588,5
1111616,562833,19452,5
324275,218663,10207,4
293367,127788,5684,4
1356811,196797,1079,5
1227792,132443,16053,4
14131,9656,5694,5
1088203,171562,40,4
136120,77315,10321,5
1372539,616450,22,4
37368,32425,338,4
294628,196788,508,4
103721,56688,13354,3
1040936,528869,22436,3
340133,138832,226,3
743178,115457,2341,5
479438,324330,285,5
1483498,360968,14212,3
1490436,289356,2957,4
1469582,268340,1303,5
240984,156418,15056,3
293942,196288,9447,4
292540,195250,10408,4
1145388,401640,10433,3
1205390,259872,19026,4
1146634,559047,4539,4
1774458,479928,23386,3
468004,259543,3890,3
477775,323284,17696,4
1632070,658417,285,5
211004,133709,483,4
864939,490458,9,4
614115,397483,4418,4
1115001,308460,49,5
621256,6236,269,3
846927,484125,3217,4
1556841,76442,10270,3
1522519,642865,19574,4
1295865,47773,617,4
1105886,24836,16732,4
1567520,437030,9,4
67907,60614,16740,3
1721956,276159,7366,4
1551144,442346,13967,5
231585,149316,13302,2
718900,385586,6764,4
1207644,582620,16680,3
775465,241657,11761,4
978297,494224,1488,3
1537978,148794,34,5
1275058,23568,3759,3
645826,133227,24346,4
368072,250134,11386,3
1353479,337633,364,4
413150,281349,6419,4
1305594,603043,250,3
1184743,275847,1316,4
11050,6576,4097,4
7802,3328,609,4
660299,401531,21839,3
15450,10974,338,5
1671020,361445,21158,3
892584,124994,16373,3
320441,119945,4794,3
1209974,541746,6146,4
662710,282137,609,5
1392518,37969,17644,3
1188951,145596,7748,5
1749367,264130,22383,3
1690561,372195,156,5
1415744,5951,1786,4
1468476,154858,25843,4
1496765,294334,1465,4
636488,405804,1178,4
546354,363282,2829,3
75954,67504,1478,3
832271,478879,9934,2
242582,157622,3284,4
1662185,169992,4969,5
70834,63116,592,3
5796,1322,1058,4
1149798,190256,145,4
279988,104199,14394,3
511832,343757,13217,2
1584879,38661,19475,3
138400,78187,10860,3
547738,1572,60,3
1320330,528535,22011,2
1318102,586364,17580,5
395999,269650,21,3
335103,226493,6006,4
672789,187239,2907,5
1162672,90032,2066,4
1058486,283020,6385,3
923593,98774,6290,3
122365,56895,5458,4
753343,292882,19809,4
601253,289454,12804,3
61678,55049,10626,4
1295299,471897,98,4
371363,190319,9168,4
1276656,472212,224,3
1278603,597460,24,4
1615478,34078,190,4
116735,67887,20052,3
1644702,262088,2291,4
288968,192603,620,5
91585,45743,3568,4
514188,345158,17979,3
843435,434471,1165,4
637295,352411,3803,4
480111,324726,399,3
841117,482057,1207,4
721043,32883,21566,3
1696882,391990,1497,4
636684,50624,6556,4
1718152,135237,2689,4
1497149,638806,268,4
706034,431939,25720,3
332418,224556,157,4
1087319,289634,18045,4
111756,11205,16787,4
669914,354769,3273,4
1262143,80448,1039,4
742475,316425,6317,2
1440266,436027,18960,3
1160709,24553,4338,3
1416267,445316,536,4
1548694,244184,1671,3
1663796,106461,791,4
1266789,570129,105,3
1431979,327782,16303,4
1249319,142444,21764,3
468315,39574,250,4
169149,101800,21472,3
981519,528448,737,3
1016114,230883,220,4
1306916,326477,17104,3
136369,69205,611,5
1726749,637193,6559,4
528853,314233,1966,4
1149765,531901,242,4
760261,452388,12979,4
696585,366086,413,4
125408,59613,1122,4
1686246,665660,682,4
984099,333915,23625,4
779648,427495,11554,4
1402748,622209,21033,3
26410,21801,1011,3
623140,344574,274,4
483783,326958,726,3
1772265,489614,1943,4
334372,225958,5268,2
888717,498689,8061,4
1108195,223806,2037,4
1500367,639338,157,3
682080,82362,503,4
866870,292266,22603,3
501743,582,609,4
981337,497063,24934,4
1085514,557420,343,4
1334085,269254,1365,2
1124544,287267,15584,3
570365,376574,18866,4
96528,32288,166,3
159041,93957,22760,4
709368,237431,7864,3
157583,92847,791,4
1254400,488449,10725,3
48969,43379,1079,4
295886,197709,7799,3
765585,291911,15433,3
1028578,305979,3007,3
82928,18361,1188,3
61840,34963,18203,3
5897,1423,1131,3
500517,337100,6330,3
1534060,390247,881,3
812604,138080,9389,4
1264893,482810,1224,2
436559,296949,14450,3
1471374,484048,6432,4
1422014,538681,9040,4
321844,216878,13745,4
1126269,508236,65,4
989263,530707,17538,4
636188,22570,19349,4
832416,478918,25132,4
1774,1774,1355,4
353812,240068,7335,3
1775695,462808,6696,3
1307148,448245,1207,3
273735,181180,18849,2
116266,51225,918,4
186699,115216,19506,4
783220,460982,4580,3
1234621,385433,12973,4
1305831,464102,6254,3
380987,259214,22714,3
940634,61645,21317,4
528786,353451,112,4
1717392,26761,7513,3
1188341,58420,17918,3
884492,80325,10570,4
1515014,94117,198,5
1555946,336729,14525,3
430081,292645,508,5
256532,103222,119,4
1786544,391229,7018,3
646129,71641,26107,3
684909,77966,295,4
601450,135308,22264,4
156515,92060,20490,2
104509,23006,5644,5
362903,246489,81,4
633084,404469,1856,2
1455124,616233,11232,4
533199,324,11206,4
1529157,3261,19247,3
1349711,71074,625,4
1165234,573829,21019,4
113717,48830,39,4
100014,53403,675,4
712699,434493,103,3
659452,237229,15575,3
675270,420387,2576,3
995425,187565,9,5
218696,139533,497,4
668208,246818,14631,3
1582839,652085,11252,4
1285997,121479,222,4
44506,39216,257,3
400282,202768,16998,4
337392,10710,194,5
1687594,454772,14331,4
582966,383677,1001,4
1201374,132447,338,5
215539,85634,24,4
87953,42396,13169,4
1509917,635315,8538,4
310535,135198,21664,3
1251145,469875,6098,3
1013533,319451,15059,3
909009,472837,806,4
623770,381101,15027,4
1314980,148467,285,5
1188080,320669,21092,4
1610189,166674,255,4
344576,74954,21687,4
1671536,157210,723,4
1267392,595187,1551,3
472531,254288,14570,4
1095022,309305,6476,2
348657,146167,5944,5
1640936,192858,15744,4
878766,148704,16307,5
1480822,118039,18485,4
1287042,599214,41,4
103157,56181,16476,4
1372673,190073,6184,3
676966,27829,14680,4
1220718,92094,144,4
1152489,471098,14790,3
906785,415146,2015,2
1565162,649428,14809,4
141494,80500,8134,3
776760,458567,12105,4
891919,499824,4223,4
726913,439901,2918,4
929293,512150,49,3
646253,409498,40,5
798338,431809,1892,3
1747805,471471,9601,4
1025976,524576,14205,4
393047,267631,3390,5
1725960,459407,17919,3
972703,46992,24862,4
1486246,305033,1259,4
155882,59538,99,4
1609224,201792,485,4
1701854,137188,6535,4
514707,224830,5266,4
1156903,572100,11608,4
372950,253606,11311,4
1498788,48057,8182,3
271505,121058,15863,4
1575459,121504,2006,4
692542,283022,25701,3
1513618,218728,5816,3
724687,25215,26672,2
72633,64663,19640,3
676027,301457,4703,4
1480678,3146,4068,4
171320,89590,22319,1
397153,270437,1671,3
1560859,248572,667,5
1697816,419823,12949,4
1481054,543656,8101,5
814040,472328,4540,4
718388,101412,1594,3
1344198,246203,11494,3
179550,109751,23541,4
511212,343386,16783,3
843256,482801,83,2
1639484,464496,11630,4
590883,388155,277,3
1213927,196635,3093,4
343238,232391,4466,3
542674,320443,14899,4
1395393,535026,316,4
1722835,2265,4823,4
599909,370287,21572,3
1437140,342300,22503,3
1044830,546175,9334,4
127781,73995,5612,4
1632190,32071,25269,2
928878,2525,2432,4
1785765,678552,2699,3
1311651,65225,473,2
394196,268420,609,4
435149,219610,25706,4
235971,152596,3127,4
297935,199248,1303,4
242082,157235,4461,4
893536,19336,618,4
479843,237735,50,4
810191,347262,551,4
485474,257246,268,5
1552410,607891,3568,5
1230317,587485,22777,3
1342590,610612,369,3
65373,17958,923,3
347454,235458,4278,5
652085,274299,3062,3
598178,198370,1178,4
1764492,187653,22988,4
670433,312089,9987,4
86839,41412,12119,4
378370,206481,20932,4
382600,260329,1320,4
608020,175204,620,5
1238269,178891,551,5
1688957,499882,364,3
140026,79354,806,3
171584,43050,6497,3
1333094,124394,322,4
961903,251504,65,3
729966,72136,7184,4
960140,481096,508,4
1240119,361438,320,3
642744,156022,23518,3
816632,29823,13090,4
1646763,407410,25722,4
148267,45738,3774,4
302532,202639,9458,3
1483601,251172,268,4
1738814,75553,27,4
204745,128950,24307,4
1304209,186744,2442,4
72735,64752,19657,3
702054,430440,242,5
1182003,536416,16536,4
435909,228735,6542,4
1022723,263051,10074,4
881718,140556,14458,5
166304,75471,560,3
52715,46864,1213,4
347988,235851,19767,4
16414,11938,1551,3
299061,200064,1524,5
534865,356905,24623,4
321785,216832,9411,3
286843,191012,611,4
154279,8214,7053,4
631775,404016,4998,4
847126,444680,6174,3
1436938,63246,190,4
1049896,364925,175,3
988814,383912,3257,3
1215789,584361,5165,4
1047615,536793,18444,4
892318,499955,5889,3
281906,121674,1893,4
596852,249466,19595,5
543394,321703,5547,5
934471,439004,4455,4
163217,97193,60,4
194941,121521,10009,4
1746559,14857,10360,5
133838,67025,5138,3
117160,68213,543,4
466399,316070,82,4
498627,335975,9392,4
1309830,42931,7677,4
1732181,671598,800,3
1159092,298186,63,4
1061094,19218,22415,3
1262320,350194,10073,4
409628,278990,621,4
349092,236658,6536,4
263008,173067,295,4
1001167,385779,940,4
180216,110254,3834,3
285686,190143,20,3
1585488,170017,57,4
618813,131091,22319,1
1625409,197079,1207,4
1552788,70793,618,3
83034,18457,9269,4
450273,305846,10915,4
588231,386685,500,4
1580656,55847,156,5
163223,97198,9950,4
1692329,37221,3746,3
1123668,146633,2879,4
785154,325450,285,5
170631,479,7131,2
238893,154825,23298,4
353367,239743,4202,4
593833,389601,29,2
1491883,448021,5123,4
276529,183290,16204,4
1249530,76538,16833,4
7311,2837,11,5
99954,35749,10935,5
516198,346340,20999,4
1392704,296078,1015,3
277347,120658,14490,4
490557,265611,1034,4
1751794,16775,2265,4
75024,66715,726,4
1178856,531699,531,3
710828,433794,9954,4
1132695,255368,1039,4
483840,326991,19900,4
1669472,182763,3028,3
924323,57052,925,4
596404,270198,306,4
81379,16797,3298,3
800173,467282,122,4
1459326,190689,1425,5
1345350,289807,11739,4
6890,2416,611,5
1169115,517737,397,4
940409,190859,511,4
1049362,132795,38,3
1165039,456044,216,4
521056,349073,1178,5
312883,210231,9470,4
1360545,312338,15507,2
450254,179689,23586,4
1644862,660114,6718,3
1040582,85169,13685,3
1374102,58357,274,5
1406308,290840,611,4
1524496,630566,14919,3
1646290,83768,357,4
1095397,105126,7936,3
95405,49214,10369,3
58890,52532,4890,4
989287,530715,6457,4
1740730,208508,15884,4
1025827,421772,13669,4
1492209,616443,145,4
1193722,579667,10869,4
418180,284727,18725,3
1243554,38460,25980,4
1069643,354128,2605,3
1531356,355023,13796,5
1203711,210543,884,3
1553824,369020,3094,3
284837,189517,24647,3
678813,421731,7927,4
1004114,535013,1671,4
407108,120024,10261,3
411284,232224,4751,3
1407063,381961,5290,5
473188,320396,1371,4
911786,24051,437,5
1404014,622423,667,4
1278757,391799,326,4
1448665,269941,551,5
439702,299036,25658,2
832667,385016,14151,4
1239053,117095,9815,3
183508,112767,21760,2
1142996,251726,14284,4
681947,368799,3490,3
929294,132788,38,4
1784849,251247,3175,4
147407,30121,12270,3
638171,384580,22772,4
658047,380682,9843,3
1233476,40978,2092,5
780256,459870,24227,4
1155585,447771,322,4
1532582,530815,7099,4
1575050,651005,129,4
216546,89503,112,3
894435,453395,2402,3
1752145,172031,683,2
245350,159723,9501,4
671072,109427,8219,3
1383389,618511,11168,4
908691,505427,536,3
744556,163603,373,4
601268,392672,12209,5
397620,270750,2707,4
779238,240253,1088,3
167681,100658,16728,3
1775953,565582,558,3
632001,404091,14399,3
421771,287121,3320,3
642024,286254,190,5
668001,367471,24,5
1465904,492729,111,4
724958,184335,4638,5
576253,379922,10406,3
1567601,649794,1308,4
1466286,611922,22288,3
270004,178362,12069,4
1344397,108978,11585,4
575300,338145,24308,4
1697493,655085,49,5
1149079,507710,5312,3
274804,181989,6772,4
1181678,26889,316,2
756844,43543,15622,5
292225,195014,8910,3
67142,18894,18933,4
950241,306257,10549,3
206636,130391,13134,3
1386811,404681,12306,4
599141,319563,2647,4
1089621,258283,6924,4
1252464,592185,18182,3
1575090,190313,5814,3
1317899,474108,1465,4
1782086,472847,50,5
1556890,648114,22084,4
844177,376507,3123,4
1583389,463800,9002,4
578451,232027,38,4
1784425,306790,14590,4
599362,119924,1044,4
620689,383246,17555,4
830900,478388,14426,3
1010400,273951,5520,3
534861,326291,4015,4
722166,369163,900,5
855754,339997,4761,4
393659,268066,216,4
21650,17145,8799,5
678183,112435,242,3
1378407,290961,2716,3
1054086,228869,4395,5
1293430,178775,7916,5
516144,15688,651,3
1031826,274909,925,4
202742,6187,1893,3
751553,194302,791,3
1117889,105295,2545,5
346317,165570,20814,4
1028487,372613,4340,4
968506,524451,191,4
1714719,669334,8751,4
1346083,302743,111,4
889065,498818,4956,3
1666816,390867,8594,4
1168402,574495,13878,3
787509,78413,1191,5
822067,34892,21,4
570636,376745,13684,4
711731,434154,3664,2
94700,30456,105,3
268583,177285,22812,3
526638,352265,17145,3
340807,114597,172,4
274883,182052,40,4
1368979,514677,3913,4
725077,122470,425,5
1406604,414770,224,3
346907,235057,216,5
666592,217106,22686,4
344880,233588,242,5
1786214,264605,10496,4
1070523,257222,17915,4
1122661,409293,18005,2
1129584,218652,16756,4
47141,41678,791,4
701219,190143,201,3
1405659,622715,1483,4
185316,114134,3491,3
1467928,215419,18315,2
284896,189554,10610,4
1459349,61868,892,3
1384,1384,1106,4
1043860,523215,7557,5
731431,145089,9712,4
927690,472353,611,3
901954,260114,10123,3
637041,406018,23970,3
115118,66564,5737,2
781642,460400,9969,4
639095,406843,726,4
255142,167148,20329,4
494405,282022,1750,4
1483192,499393,17718,4
1771297,551754,6388,3
1302534,229861,9,4
817597,341974,791,4
652842,411998,2226,4
1417109,390169,1577,4
610020,190015,16621,4
1539992,521945,24812,4
1622248,362608,13161,2
1505644,218698,5488,3
1679139,664701,11931,3
1145224,569685,620,4
1697635,396852,19980,2
273072,180684,9,4
1707591,431838,6714,4
423561,126112,7913,3
1632438,10134,15105,4
763853,167380,18137,2
838726,448762,576,2
64216,57344,1875,4
1556098,205364,20490,4
1620721,630043,460,4
68507,61115,726,5
26371,21763,2558,3
82134,17595,29,4
1318155,116950,15753,4
1729858,434905,3443,3
269057,113911,20940,4
1431839,591650,10613,3
1707616,157528,348,4
727599,203375,819,4
1392671,493273,22159,4
382736,260440,4332,5
770729,420828,1025,4
404706,275576,1111,5
1774900,665955,255,3
65551,58535,18355,3
1385486,26011,17636,3
983126,528925,4089,4
1636097,127815,354,3
1251808,592035,17669,4
68348,60981,19098,3
302992,2852,16974,3
1098451,211667,213,4
1189328,578782,4542,4
1686434,22296,285,5
1183316,288477,25066,4
391483,266529,17342,3
590053,387697,24508,3
1643879,109561,8905,4
555864,310896,6033,4
613343,306860,12598,2
526031,351913,1551,5
917591,327738,242,4
386142,183170,611,5
1664672,467354,63,4
63198,56433,2285,4
